,counts,date,status,site
156,1683.0,2014-05-24T00:00:00+0000,0.0,100010022
157,3630.0,2014-05-25T00:00:00+0000,0.0,100010022
158,3639.0,2014-05-26T00:00:00+0000,0.0,100010022
159,3150.0,2014-05-27T00:00:00+0000,0.0,100010022
160,2671.0,2014-05-28T00:00:00+0000,0.0,100010022
161,3743.0,2014-05-29T00:00:00+0000,0.0,100010022
162,3459.0,2014-05-30T00:00:00+0000,0.0,100010022
163,3027.0,2014-05-31T00:00:00+0000,0.0,100010022
164,3865.0,2014-06-01T00:00:00+0000,0.0,100010022
165,4110.0,2014-06-02T00:00:00+0000,0.0,100010022
166,3063.0,2014-06-03T00:00:00+0000,0.0,100010022
167,3728.0,2014-06-04T00:00:00+0000,0.0,100010022
168,1494.0,2014-06-05T00:00:00+0000,0.0,100010022
169,4091.0,2014-06-06T00:00:00+0000,0.0,100010022
170,3578.0,2014-06-07T00:00:00+0000,0.0,100010022
171,3563.0,2014-06-08T00:00:00+0000,0.0,100010022
172,961.0,2014-06-09T00:00:00+0000,0.0,100010022
173,3210.0,2014-06-10T00:00:00+0000,0.0,100010022
174,2834.0,2014-06-11T00:00:00+0000,0.0,100010022
175,2147.0,2014-06-12T00:00:00+0000,0.0,100010022
176,1100.0,2014-06-13T00:00:00+0000,0.0,100010022
177,3131.0,2014-06-14T00:00:00+0000,0.0,100010022
178,3350.0,2014-06-15T00:00:00+0000,0.0,100010022
179,3963.0,2014-06-16T00:00:00+0000,0.0,100010022
180,3826.0,2014-06-17T00:00:00+0000,0.0,100010022
181,3468.0,2014-06-18T00:00:00+0000,0.0,100010022
182,2858.0,2014-06-19T00:00:00+0000,0.0,100010022
183,3862.0,2014-06-20T00:00:00+0000,0.0,100010022
184,3194.0,2014-06-21T00:00:00+0000,0.0,100010022
185,3148.0,2014-06-22T00:00:00+0000,0.0,100010022
186,3686.0,2014-06-23T00:00:00+0000,0.0,100010022
187,4098.0,2014-06-24T00:00:00+0000,0.0,100010022
188,2886.0,2014-06-25T00:00:00+0000,0.0,100010022
189,3304.0,2014-06-26T00:00:00+0000,0.0,100010022
190,3553.0,2014-06-27T00:00:00+0000,0.0,100010022
191,2981.0,2014-06-28T00:00:00+0000,0.0,100010022
192,2805.0,2014-06-29T00:00:00+0000,0.0,100010022
193,3713.0,2014-06-30T00:00:00+0000,0.0,100010022
194,3577.0,2014-07-01T00:00:00+0000,0.0,100010022
195,2626.0,2014-07-02T00:00:00+0000,0.0,100010022
196,2099.0,2014-07-03T00:00:00+0000,0.0,100010022
