,datetime,counts,weekend_counts,weekday_counts,name,sens,counter
100010022,2017-01-31,23686.0,4006.0,19680.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009428,2017-01-31,55677.0,11555.0,44122.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010019,2017-02-28,40783.0,11950.0,28833.0,Kent Avenue Bike Path,0,Y2H13094302
100009426,2017-02-28,3150.0,874.0,2276.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010017,2017-02-28,8255.0,1836.0,6419.0,Staten Island Ferry,0,Y2H13094300
100009428,2017-02-28,61399.0,13355.0,48044.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010022,2017-02-28,31322.0,6349.0,24973.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2017-02-28,83665.0,18538.0,65127.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009425,2017-02-28,36401.0,10504.0,25897.0,Prospect Park West,0,Y2H13094304
100009428,2017-03-31,53999.0,9847.0,44152.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009425,2017-03-31,35274.0,8173.0,27101.0,Prospect Park West,0,Y2H13094304
100009426,2017-03-31,2736.0,570.0,2166.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009427,2017-03-31,73646.0,12209.0,61437.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2017-03-31,27585.0,3648.0,23937.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100010017,2017-03-31,7596.0,1291.0,6305.0,Staten Island Ferry,0,Y2H13094300
100010019,2017-03-31,34996.0,7154.0,27842.0,Kent Avenue Bike Path,0,Y2H13094302
100009428,2017-04-30,104484.0,30237.0,74247.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009426,2017-04-30,5385.0,1957.0,3428.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009425,2017-04-30,63333.0,26196.0,37137.0,Prospect Park West,0,Y2H13094304
100010022,2017-04-30,67503.0,21184.0,46319.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009427,2017-04-30,148268.0,43940.0,104328.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010017,2017-04-30,12814.0,4312.0,8502.0,Staten Island Ferry,0,Y2H13094300
100010019,2017-04-30,80863.0,33040.0,47823.0,Kent Avenue Bike Path,0,Y2H13094302
100009427,2017-05-31,177015.0,37030.0,139985.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100009425,2017-05-31,68600.0,19233.0,49367.0,Prospect Park West,0,Y2H13094304
100009426,2017-05-31,6060.0,1409.0,4651.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009428,2017-05-31,126320.0,26014.0,100306.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100010022,2017-05-31,75991.0,17056.0,58935.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100010019,2017-05-31,93524.0,28600.0,64924.0,Kent Avenue Bike Path,0,Y2H13094302
100010017,2017-05-31,14762.0,3403.0,11359.0,Staten Island Ferry,0,Y2H13094300
