date,name,total,fillColor,wday
2017-04-29T00:00:00Z,1st Avenue - 26th St N,2305,Weekend,7
2017-04-30T00:00:00Z,1st Avenue - 26th St N,1935,Weekend,1
2017-05-01T00:00:00Z,1st Avenue - 26th St N,3130,Weekday,2
2017-05-02T00:00:00Z,1st Avenue - 26th St N,5041,Weekday,3
2017-05-03T00:00:00Z,1st Avenue - 26th St N,4022,Weekday,4
2017-05-04T00:00:00Z,1st Avenue - 26th St N,3368,Weekday,5
2017-05-05T00:00:00Z,1st Avenue - 26th St N,1252,Weekday,6
2017-05-06T00:00:00Z,1st Avenue - 26th St N,1942,Weekend,7
2017-05-07T00:00:00Z,1st Avenue - 26th St N,1956,Weekend,1
2017-05-08T00:00:00Z,1st Avenue - 26th St N,2775,Weekday,2
2017-05-09T00:00:00Z,1st Avenue - 26th St N,2991,Weekday,3
2017-05-10T00:00:00Z,1st Avenue - 26th St N,3081,Weekday,4
2017-05-11T00:00:00Z,1st Avenue - 26th St N,3106,Weekday,5
2017-05-12T00:00:00Z,1st Avenue - 26th St N,2910,Weekday,6
2017-05-13T00:00:00Z,1st Avenue - 26th St N,656,Weekend,7
2017-05-14T00:00:00Z,1st Avenue - 26th St N,1695,Weekend,1
2017-05-15T00:00:00Z,1st Avenue - 26th St N,3096,Weekday,2
2017-05-16T00:00:00Z,1st Avenue - 26th St N,4822,Weekday,3
2017-05-17T00:00:00Z,1st Avenue - 26th St N,6953,Weekday,4
2017-05-18T00:00:00Z,1st Avenue - 26th St N,6027,Weekday,5
2017-05-19T00:00:00Z,1st Avenue - 26th St N,3839,Weekday,6
2017-05-20T00:00:00Z,1st Avenue - 26th St N,1975,Weekend,7
2017-05-21T00:00:00Z,1st Avenue - 26th St N,2163,Weekend,1
2017-05-22T00:00:00Z,1st Avenue - 26th St N,1839,Weekday,2
2017-05-23T00:00:00Z,1st Avenue - 26th St N,3940,Weekday,3
2017-05-24T00:00:00Z,1st Avenue - 26th St N,3328,Weekday,4
2017-05-25T00:00:00Z,1st Avenue - 26th St N,1140,Weekday,5
2017-05-26T00:00:00Z,1st Avenue - 26th St N,3068,Weekday,6
2017-05-27T00:00:00Z,1st Avenue - 26th St N,1855,Weekend,7
2017-05-28T00:00:00Z,1st Avenue - 26th St N,1720,Weekend,1
2017-05-29T00:00:00Z,1st Avenue - 26th St N,1243,Weekday,2
2017-05-30T00:00:00Z,1st Avenue - 26th St N,2782,Weekday,3
