date,name,total,fillColor,wday
2020-01-10T00:00:00Z,Williamsburg Bridge Bike Path,3940,Weekday,6
2020-01-11T00:00:00Z,8th Ave at 50th St.,2888,Weekend,7
2020-01-11T00:00:00Z,Amsterdam Ave at 86th St.,1493,Weekend,7
2020-01-11T00:00:00Z,Broadway at 50th St,0,Weekend,7
2020-01-11T00:00:00Z,Brooklyn Bridge Bike Path,863,Weekend,7
2020-01-11T00:00:00Z,Columbus Ave at 86th St.,1368,Weekend,7
2020-01-11T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,3038,Weekend,7
2020-01-11T00:00:00Z,Kent Avenue Bike Path,2710,Weekend,7
2020-01-11T00:00:00Z,Manhattan Bridge Display Bike Counter,3440,Weekend,7
2020-01-11T00:00:00Z,Manhattan Bridge Ped Path,168,Weekend,7
2020-01-11T00:00:00Z,Prospect Park West,2832,Weekend,7
2020-01-11T00:00:00Z,Pulaski Bridge,1699,Weekend,7
2020-01-11T00:00:00Z,Staten Island Ferry,369,Weekend,7
2020-01-11T00:00:00Z,Williamsburg Bridge Bike Path,4592,Weekend,7
2020-01-12T00:00:00Z,8th Ave at 50th St.,2728,Weekend,1
2020-01-12T00:00:00Z,Amsterdam Ave at 86th St.,1576,Weekend,1
2020-01-12T00:00:00Z,Broadway at 50th St,0,Weekend,1
2020-01-12T00:00:00Z,Brooklyn Bridge Bike Path,810,Weekend,1
2020-01-12T00:00:00Z,Columbus Ave at 86th St.,1271,Weekend,1
2020-01-12T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,2480,Weekend,1
2020-01-12T00:00:00Z,Kent Avenue Bike Path,2559,Weekend,1
2020-01-12T00:00:00Z,Manhattan Bridge Display Bike Counter,2684,Weekend,1
2020-01-12T00:00:00Z,Manhattan Bridge Ped Path,136,Weekend,1
2020-01-12T00:00:00Z,Prospect Park West,2259,Weekend,1
2020-01-12T00:00:00Z,Pulaski Bridge,1545,Weekend,1
2020-01-12T00:00:00Z,Staten Island Ferry,278,Weekend,1
2020-01-12T00:00:00Z,Williamsburg Bridge Bike Path,3879,Weekend,1
2020-01-13T00:00:00Z,8th Ave at 50th St.,2966,Weekday,2
2020-01-13T00:00:00Z,Amsterdam Ave at 86th St.,1392,Weekday,2
2020-01-13T00:00:00Z,Broadway at 50th St,0,Weekday,2
2020-01-13T00:00:00Z,Brooklyn Bridge Bike Path,1206,Weekday,2
2020-01-13T00:00:00Z,Columbus Ave at 86th St.,1107,Weekday,2
2020-01-13T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,3136,Weekday,2
2020-01-13T00:00:00Z,Kent Avenue Bike Path,1515,Weekday,2
2020-01-13T00:00:00Z,Manhattan Bridge Display Bike Counter,3477,Weekday,2
2020-01-13T00:00:00Z,Manhattan Bridge Ped Path,102,Weekday,2
2020-01-13T00:00:00Z,Prospect Park West,1814,Weekday,2
2020-01-13T00:00:00Z,Pulaski Bridge,1350,Weekday,2
2020-01-13T00:00:00Z,Staten Island Ferry,343,Weekday,2
2020-01-13T00:00:00Z,Williamsburg Bridge Bike Path,3923,Weekday,2
2020-01-14T00:00:00Z,8th Ave at 50th St.,2891,Weekday,3
2020-01-14T00:00:00Z,Amsterdam Ave at 86th St.,1228,Weekday,3
2020-01-14T00:00:00Z,Broadway at 50th St,0,Weekday,3
2020-01-14T00:00:00Z,Brooklyn Bridge Bike Path,853,Weekday,3
2020-01-14T00:00:00Z,Columbus Ave at 86th St.,1036,Weekday,3
2020-01-14T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,2627,Weekday,3
2020-01-14T00:00:00Z,Kent Avenue Bike Path,1359,Weekday,3
2020-01-14T00:00:00Z,Manhattan Bridge Display Bike Counter,2649,Weekday,3
2020-01-14T00:00:00Z,Manhattan Bridge Ped Path,94,Weekday,3
2020-01-14T00:00:00Z,Prospect Park West,1596,Weekday,3
2020-01-14T00:00:00Z,Pulaski Bridge,1104,Weekday,3
2020-01-14T00:00:00Z,Staten Island Ferry,313,Weekday,3
2020-01-14T00:00:00Z,Williamsburg Bridge Bike Path,3354,Weekday,3
2020-01-15T00:00:00Z,8th Ave at 50th St.,3374,Weekday,4
2020-01-15T00:00:00Z,Amsterdam Ave at 86th St.,1443,Weekday,4
2020-01-15T00:00:00Z,Broadway at 50th St,0,Weekday,4
2020-01-15T00:00:00Z,Brooklyn Bridge Bike Path,1328,Weekday,4
2020-01-15T00:00:00Z,Columbus Ave at 86th St.,1161,Weekday,4
2020-01-15T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,3325,Weekday,4
2020-01-15T00:00:00Z,Kent Avenue Bike Path,1872,Weekday,4
2020-01-15T00:00:00Z,Manhattan Bridge Display Bike Counter,3931,Weekday,4
2020-01-15T00:00:00Z,Manhattan Bridge Ped Path,132,Weekday,4
2020-01-15T00:00:00Z,Prospect Park West,1915,Weekday,4
2020-01-15T00:00:00Z,Pulaski Bridge,1459,Weekday,4
2020-01-15T00:00:00Z,Staten Island Ferry,334,Weekday,4
2020-01-15T00:00:00Z,Williamsburg Bridge Bike Path,4727,Weekday,4
2020-01-16T00:00:00Z,8th Ave at 50th St.,2983,Weekday,5
2020-01-16T00:00:00Z,Amsterdam Ave at 86th St.,1415,Weekday,5
2020-01-16T00:00:00Z,Broadway at 50th St,0,Weekday,5
2020-01-16T00:00:00Z,Brooklyn Bridge Bike Path,959,Weekday,5
2020-01-16T00:00:00Z,Columbus Ave at 86th St.,1138,Weekday,5
2020-01-16T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,2661,Weekday,5
2020-01-16T00:00:00Z,Kent Avenue Bike Path,1283,Weekday,5
2020-01-16T00:00:00Z,Manhattan Bridge Display Bike Counter,2902,Weekday,5
2020-01-16T00:00:00Z,Manhattan Bridge Ped Path,98,Weekday,5
2020-01-16T00:00:00Z,Prospect Park West,1734,Weekday,5
2020-01-16T00:00:00Z,Pulaski Bridge,1127,Weekday,5
2020-01-16T00:00:00Z,Staten Island Ferry,284,Weekday,5
2020-01-16T00:00:00Z,Williamsburg Bridge Bike Path,3398,Weekday,5
2020-01-17T00:00:00Z,8th Ave at 50th St.,2802,Weekday,6
2020-01-17T00:00:00Z,Amsterdam Ave at 86th St.,1305,Weekday,6
2020-01-17T00:00:00Z,Broadway at 50th St,0,Weekday,6
2020-01-17T00:00:00Z,Brooklyn Bridge Bike Path,626,Weekday,6
2020-01-17T00:00:00Z,Columbus Ave at 86th St.,1130,Weekday,6
2020-01-17T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,2138,Weekday,6
2020-01-17T00:00:00Z,Kent Avenue Bike Path,1081,Weekday,6
2020-01-17T00:00:00Z,Manhattan Bridge Display Bike Counter,1895,Weekday,6
2020-01-17T00:00:00Z,Manhattan Bridge Ped Path,55,Weekday,6
2020-01-17T00:00:00Z,Prospect Park West,1410,Weekday,6
2020-01-17T00:00:00Z,Pulaski Bridge,845,Weekday,6
2020-01-17T00:00:00Z,Staten Island Ferry,287,Weekday,6
2020-01-17T00:00:00Z,Williamsburg Bridge Bike Path,2402,Weekday,6
2020-01-18T00:00:00Z,8th Ave at 50th St.,1977,Weekend,7
2020-01-18T00:00:00Z,Amsterdam Ave at 86th St.,941,Weekend,7
2020-01-18T00:00:00Z,Broadway at 50th St,0,Weekend,7
2020-01-18T00:00:00Z,Brooklyn Bridge Bike Path,106,Weekend,7
2020-01-18T00:00:00Z,Columbus Ave at 86th St.,727,Weekend,7
2020-01-18T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,1022,Weekend,7
2020-01-18T00:00:00Z,Kent Avenue Bike Path,591,Weekend,7
2020-01-18T00:00:00Z,Manhattan Bridge Display Bike Counter,558,Weekend,7
2020-01-18T00:00:00Z,Manhattan Bridge Ped Path,36,Weekend,7
2020-01-18T00:00:00Z,Prospect Park West,834,Weekend,7
2020-01-18T00:00:00Z,Pulaski Bridge,341,Weekend,7
2020-01-18T00:00:00Z,Staten Island Ferry,162,Weekend,7
2020-01-18T00:00:00Z,Williamsburg Bridge Bike Path,958,Weekend,7
2020-01-19T00:00:00Z,8th Ave at 50th St.,2164,Weekend,1
2020-01-19T00:00:00Z,Amsterdam Ave at 86th St.,1291,Weekend,1
2020-01-19T00:00:00Z,Broadway at 50th St,0,Weekend,1
2020-01-19T00:00:00Z,Brooklyn Bridge Bike Path,254,Weekend,1
2020-01-19T00:00:00Z,Columbus Ave at 86th St.,974,Weekend,1
2020-01-19T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,1353,Weekend,1
2020-01-19T00:00:00Z,Kent Avenue Bike Path,1045,Weekend,1
2020-01-19T00:00:00Z,Manhattan Bridge Display Bike Counter,1174,Weekend,1
2020-01-19T00:00:00Z,Manhattan Bridge Ped Path,71,Weekend,1
2020-01-19T00:00:00Z,Prospect Park West,1232,Weekend,1
2020-01-19T00:00:00Z,Pulaski Bridge,648,Weekend,1
2020-01-19T00:00:00Z,Staten Island Ferry,209,Weekend,1
2020-01-19T00:00:00Z,Williamsburg Bridge Bike Path,1774,Weekend,1
2020-01-20T00:00:00Z,8th Ave at 50th St.,2149,Weekday,2
2020-01-20T00:00:00Z,Amsterdam Ave at 86th St.,1203,Weekday,2
2020-01-20T00:00:00Z,Broadway at 50th St,0,Weekday,2
2020-01-20T00:00:00Z,Brooklyn Bridge Bike Path,297,Weekday,2
2020-01-20T00:00:00Z,Columbus Ave at 86th St.,891,Weekday,2
2020-01-20T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,1676,Weekday,2
2020-01-20T00:00:00Z,Kent Avenue Bike Path,977,Weekday,2
2020-01-20T00:00:00Z,Manhattan Bridge Display Bike Counter,1173,Weekday,2
2020-01-20T00:00:00Z,Manhattan Bridge Ped Path,49,Weekday,2
2020-01-20T00:00:00Z,Prospect Park West,1295,Weekday,2
2020-01-20T00:00:00Z,Pulaski Bridge,624,Weekday,2
2020-01-20T00:00:00Z,Staten Island Ferry,225,Weekday,2
2020-01-20T00:00:00Z,Williamsburg Bridge Bike Path,1798,Weekday,2
2020-01-21T00:00:00Z,8th Ave at 50th St.,2687,Weekday,3
2020-01-21T00:00:00Z,Amsterdam Ave at 86th St.,1279,Weekday,3
2020-01-21T00:00:00Z,Broadway at 50th St,0,Weekday,3
2020-01-21T00:00:00Z,Brooklyn Bridge Bike Path,762,Weekday,3
2020-01-21T00:00:00Z,Columbus Ave at 86th St.,862,Weekday,3
2020-01-21T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,2252,Weekday,3
2020-01-21T00:00:00Z,Kent Avenue Bike Path,1169,Weekday,3
2020-01-21T00:00:00Z,Manhattan Bridge Display Bike Counter,2175,Weekday,3
2020-01-21T00:00:00Z,Manhattan Bridge Ped Path,82,Weekday,3
2020-01-21T00:00:00Z,Prospect Park West,1493,Weekday,3
2020-01-21T00:00:00Z,Pulaski Bridge,886,Weekday,3
2020-01-21T00:00:00Z,Staten Island Ferry,312,Weekday,3
2020-01-21T00:00:00Z,Williamsburg Bridge Bike Path,2719,Weekday,3
2020-01-22T00:00:00Z,8th Ave at 50th St.,2880,Weekday,4
2020-01-22T00:00:00Z,Amsterdam Ave at 86th St.,1210,Weekday,4
2020-01-22T00:00:00Z,Brooklyn Bridge Bike Path,903,Weekday,4
2020-01-22T00:00:00Z,Columbus Ave at 86th St.,982,Weekday,4
2020-01-22T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,2661,Weekday,4
2020-01-22T00:00:00Z,Kent Avenue Bike Path,1407,Weekday,4
2020-01-22T00:00:00Z,Manhattan Bridge Display Bike Counter,2686,Weekday,4
2020-01-22T00:00:00Z,Manhattan Bridge Ped Path,90,Weekday,4
2020-01-22T00:00:00Z,Prospect Park West,1630,Weekday,4
2020-01-22T00:00:00Z,Pulaski Bridge,1141,Weekday,4
2020-01-22T00:00:00Z,Staten Island Ferry,320,Weekday,4
2020-01-22T00:00:00Z,Williamsburg Bridge Bike Path,3371,Weekday,4
2020-01-23T00:00:00Z,8th Ave at 50th St.,3079,Weekday,5
2020-01-23T00:00:00Z,Amsterdam Ave at 86th St.,1319,Weekday,5
2020-01-23T00:00:00Z,Brooklyn Bridge Bike Path,1107,Weekday,5
2020-01-23T00:00:00Z,Columbus Ave at 86th St.,1191,Weekday,5
2020-01-23T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,2958,Weekday,5
2020-01-23T00:00:00Z,Kent Avenue Bike Path,1612,Weekday,5
2020-01-23T00:00:00Z,Manhattan Bridge Display Bike Counter,3182,Weekday,5
2020-01-23T00:00:00Z,Manhattan Bridge Ped Path,105,Weekday,5
2020-01-23T00:00:00Z,Prospect Park West,1868,Weekday,5
2020-01-23T00:00:00Z,Pulaski Bridge,1273,Weekday,5
2020-01-23T00:00:00Z,Staten Island Ferry,350,Weekday,5
2020-01-23T00:00:00Z,Williamsburg Bridge Bike Path,3670,Weekday,5
2020-01-24T00:00:00Z,8th Ave at 50th St.,3238,Weekday,6
2020-01-24T00:00:00Z,Amsterdam Ave at 86th St.,1451,Weekday,6
2020-01-24T00:00:00Z,Brooklyn Bridge Bike Path,1174,Weekday,6
2020-01-24T00:00:00Z,Columbus Ave at 86th St.,1236,Weekday,6
2020-01-24T00:00:00Z,Ed Koch Queensboro Bridge Shared Path,3087,Weekday,6
2020-01-24T00:00:00Z,Kent Avenue Bike Path,1797,Weekday,6
2020-01-24T00:00:00Z,Manhattan Bridge Display Bike Counter,3294,Weekday,6
2020-01-24T00:00:00Z,Manhattan Bridge Ped Path,120,Weekday,6
